source,target,value
flashdocs,source/Simulation/SimulationMain/magnetoHD/Biermann/eos_idealGamma.F90,0.4
flashdocs,source/Simulation/SimulationMain/magnetoHD/HelicalJetCyl/Simulation_data.F90,0.86
flashdocs,source/Simulation/SimulationMain/magnetoHD/Biermann/hy_uhd_biermannSource.F90,0.86
flashdocs,source/Simulation/SimulationMain/magnetoHD/MacJets/Diffuse_computeDt.F90,0.46
flashdocs,source/Simulation/SimulationMain/magnetoHD/MacJets/Grid_markRefineDerefine.F90,0.46
flashdocs,source/Simulation/SimulationMain/magnetoHD/MacJets/OLD/Diffuse_computeDt.F90,0.94
flashdocs,source/Simulation/SimulationMain/magnetoHD/MacJets/OLD/Grid_markRefineDerefine.F90,0.94
flashdocs,source/Simulation/SimulationMain/magnetoHD/MacJets/OLD/hy_uhd_addResistiveFluxes.F90,0.94
flashdocs,source/Simulation/SimulationMain/magnetoHD/MacJets/OLD/hy_uhd_biermannSource.F90,0.94
flashdocs,source/Simulation/SimulationMain/magnetoHD/MacJets/OLD/hy_uhd_getElectricFields.F90,0.94
flashdocs,source/Simulation/SimulationMain/magnetoHD/MacJets/OLD/hy_uhd_getFaceFlux.F90,0.94
flashdocs,source/Simulation/SimulationMain/magnetoHD/MacJets/OLD/hy_uhd_shockDetect.F90,0.94
flashdocs,source/Simulation/SimulationMain/magnetoHD/MacJets/OLD/hy_uhd_unsplitUpdate.F90,0.94
flashdocs,source/Simulation/SimulationMain/magnetoHD/MacJets/hy_uhd_biermannSource.F90,0.4
flashdocs,source/Simulation/SimulationMain/magnetoHD/RMInst/Grid_bcApplyToRegionSpecialized.F90,0.77
flashdocs,source/physics/Hydro/HydroMain/unsplit/Hydro_consolidateCFL.F90,0.76
flashdocs,source/Simulation/SimulationMain/magnetoHD/Biermann/OLD_FILES/hy_uhd_addBiermannBatteryTerms.F90,0.8
flashdocs,source/Simulation/SimulationMain/magnetoHD/Biermann/OLD_FILES/hy_uhd_getFaceFlux.F90,0.8
flashdocs,source/Simulation/SimulationMain/magnetoHD/Biermann/Simulation_data.F90,0.86
flashdocs,source/Simulation/SimulationMain/magnetoHD/Biermann/Simulation_init.F90,0.86
flashdocs,source/Simulation/SimulationMain/magnetoHD/Biermann/Simulation_initBlock.F90,0.86
flashdocs,source/Simulation/SimulationMain/magnetoHD/Biermann/WriteParticleSubset/io_ptCreateSubset.F90,0.87
flashdocs,source/Simulation/SimulationMain/magnetoHD/VulcanDoubleFoil/Diffuse_computeDt.F90,0.86
flashdocs,source/Simulation/SimulationMain/magnetoHD/VulcanDoubleFoil/Grid_markRefineDerefine.F90,0.86
flashdocs,source/Simulation/SimulationMain/magnetoHD/VulcanDoubleFoil/Simulation_data.F90,0.86
flashdocs,source/Simulation/SimulationMain/magnetoHD/VulcanDoubleFoil/Simulation_init.F90,0.86
flashdocs,source/Simulation/SimulationMain/magnetoHD/VulcanDoubleFoil/Simulation_initBlock.F90,0.86
flashdocs,source/Simulation/SimulationMain/magnetoHD/VulcanDoubleFoil/hy_uhd_biermannSource.F90,0.86
flashdocs,source/physics/Hydro/HydroMain/hy_memGetBlkPtr.F90,0.37
flashdocs,source/physics/Hydro/HydroMain/hy_memReleaseBlkPtr.F90,0.37
flashdocs,source/physics/Hydro/HydroMain/hy_memScratchData.F90,0.33
flashdocs,source/Simulation/SimulationMain/magnetoHD/VulcanFoil/Diffuse_computeDt.F90,0.86
flashdocs,source/Simulation/SimulationMain/magnetoHD/VulcanFoil/Grid_markRefineDerefine.F90,0.86
flashdocs,source/Simulation/SimulationMain/magnetoHD/VulcanFoil/Simulation_data.F90,0.86
flashdocs,source/Simulation/SimulationMain/magnetoHD/VulcanFoil/Simulation_init.F90,0.86
flashdocs,source/Simulation/SimulationMain/magnetoHD/VulcanFoil/Simulation_initBlock.F90,0.86
flashdocs,source/Simulation/SimulationMain/magnetoHD/VulcanFoil/hy_uhd_biermannSource.F90,0.86
flashdocs,source/physics/Hydro/HydroMain/unsplit/MHD_StaggeredMesh/hy_uhd_addResistiveFluxes.F90,0.87
flashdocs,source/flashUtilities/interpolation/cubic/ut_monoCubicMonotoneDervatives.F90,0.83
flashdocs,source/physics/Hydro/HydroMain/unsplit/MHD_StaggeredMesh/hy_uhd_addBiermannBatteryTerms.F90,0.87
flashdocs,source/physics/sourceTerms/EnergyDeposition/EnergyDepositionMain/Laser/LaserRayTrace/CubicInterpolation/ed_blockData1DRec.F90,0.84
flashdocs,source/physics/sourceTerms/EnergyDeposition/EnergyDepositionMain/Laser/LaserRayTrace/CubicInterpolation/ed_blockData2DRec.F90,0.84
flashdocs,source/physics/sourceTerms/EnergyDeposition/EnergyDepositionMain/Laser/LaserRayTrace/CubicInterpolation/ed_blockData3DRec.F90,0.84
flashdocs,source/physics/sourceTerms/EnergyDeposition/EnergyDepositionMain/Laser/LaserRayTrace/CubicInterpolation/ed_traceBlockRays1DRec.F90,0.89
flashdocs,source/physics/sourceTerms/EnergyDeposition/EnergyDepositionMain/Laser/LaserRayTrace/CubicInterpolation/ed_traceBlockRays2DCyl3D.F90,0.84
flashdocs,source/physics/sourceTerms/EnergyDeposition/EnergyDepositionMain/Laser/LaserRayTrace/CubicInterpolation/ed_traceBlockRays2DRec.F90,0.84
flashdocs,source/physics/sourceTerms/EnergyDeposition/EnergyDepositionMain/Laser/LaserRayTrace/CubicInterpolation/ed_traceBlockRays3DRec.F90,0.84
flashdocs,source/physics/sourceTerms/EnergyDeposition/EnergyDepositionMain/Laser/LaserRayTrace/CubicInterpolation/ed_traceRays1DRec.F90,0.89
flashdocs,source/physics/sourceTerms/EnergyDeposition/EnergyDepositionMain/Laser/LaserRayTrace/CubicInterpolation/ed_traceRays2DCyl3D.F90,0.89
flashdocs,source/physics/sourceTerms/EnergyDeposition/EnergyDepositionMain/Laser/LaserRayTrace/CubicInterpolation/ed_traceRays2DRec.F90,0.84
klaus,source/Simulation/SimulationMain/magnetoHD/HelicalJetCyl/Simulation_init.F90,0.86
klaus,source/Simulation/SimulationMain/magnetoHD/LinearWave/Simulation_initBlock.F90,0.89
klaus,source/Simulation/SimulationMain/magnetoHD/LinearWave/flash.par,5.88
klaus,source/Simulation/SimulationMain/magnetoHD/SupersonicJets/Simulation_init.F90,0.86
klaus,source/physics/Eos/EosMain/Eos_data.F90,0.37
klaus,source/Grid/GridSolvers/Multipole_new/Grid_solvePoisson.F90,3.87
klaus,source/Grid/GridSolvers/Multipole_new/gr_mpolePot3Dcartesian.F90,0.35
klaus,source/Particles/ParticlesForces/longRange/Config,0.67
klaus,source/Particles/ParticlesForces/longRange/gravity/Config,0.76
klaus,source/Particles/ParticlesForces/longRange/gravity/ParticleMesh/Config,1.44
klaus,source/Particles/ParticlesMain/Particles_advance.F90,0.86
klaus,source/Particles/ParticlesMain/active/massive/Leapfrog/pt_advanceLeapfrog.F90,3.74
klaus,source/Particles/ParticlesMain/active/massive/LeapfrogCosmo/pt_advanceLeapfrog_cosmo.F90,2.46
klaus,source/Simulation/SimulationMain/ShuOsher/Simulation_init.F90,0.89
klaus,source/Simulation/SimulationMain/ShuOsher/Simulation_initBlock.F90,0.67
klaus,source/Simulation/SimulationMain/magnetoHD/Biermann/hy_uhd_shockDetect.F90,0.86
klaus,source/Simulation/SimulationMain/magnetoHD/BrioWu/Simulation_initBlock.F90,0.67
klaus,source/physics/Cosmology/CosmologyMain/Cosmology_data.F90,0.71
klaus,source/physics/Cosmology/CosmologyMain/Cosmology_solveFriedmannEqn.F90,1.0
klaus,source/physics/Eos/Eos_interface.F90,0.71
klaus,source/physics/Hydro/HydroMain/unsplit/Hydro_Unsplit/threadBlockList/hy_uhd_unsplit.F90,7.74
klaus,source/physics/Hydro/HydroMain/unsplit/Hydro_Unsplit/threadWithinBlock/hy_uhd_unsplit.F90,1.85
klaus,source/physics/Hydro/HydroMain/unsplit/hy_uhd_eigenParameters.F90,0.79
klaus,source/physics/Hydro/HydroMain/unsplit/hy_uhd_unitConvert.F90,0.86
klaus,source/physics/Hydro/HydroMain/unsplit/hy_uhd_unsplitUpdate.F90,0.99
klaus,source/physics/RadTrans/RadTransMain/NeutrinoLeakage/RadTrans_finalize.F90,0.86
klaus,source/Simulation/SimulationMain/magnetoHD/Biermann/README.md,0.98
klaus,source/physics/Hydro/HydroMain/unsplit/MHD_StaggeredMesh/hy_uhd_addBiermannBatteryTerms.F90,1.0
klaus,source/physics/Hydro/HydroMain/unsplit/MHD_StaggeredMesh/hy_uhd_addResistiveFluxes.F90,14.74
klaus,source/Driver/DriverMain/multithreaded/Driver_computeDt.F90,1.39
klaus,source/physics/Hydro/HydroMain/unsplit/MHD_StaggeredMesh/hy_uhd_getElectricFields.F90,1.99
